t,x,y,z
0,3.2,0,0
0.1,3.2,-5.00615e-08,1.48708e-07
0.2,3.20003,-7.81107e-07,2.35014e-06
0.3,3.20017,-3.8554e-06,1.1751e-05
0.4,3.20053,-1.18774e-05,3.66789e-05
0.5,3.20126,-2.82595e-05,8.84336e-05
0.6,3.20258,-5.70945e-05,0.000181082
0.7,3.2047,-0.000103035,0.000331259
0.8,3.20789,-0.000171181,0.000557972
0.9,3.21243,-0.00026697,0.000882411
1,3.21864,-0.000396082,0.00132776
1.1,3.22684,-0.00056434,0.00191903
1.2,3.23738,-0.000777624,0.00268286
1.3,3.25063,-0.00104179,0.00364735
1.4,3.26695,-0.0013626,0.00484193
1.5,3.28675,-0.00174565,0.00629713
1.6,3.3104,-0.00219627,0.00804448
1.7,3.3383,-0.00271955,0.0101163
1.8,3.37086,-0.00332018,0.0125457
1.9,3.40847,-0.0040025,0.0153662
2,3.45153,-0.0047704,0.0186117
2.1,3.50044,-0.00562728,0.0223164
2.2,3.55559,-0.00657605,0.0265147
2.3,3.61736,-0.00761908,0.0312409
2.4,3.68612,-0.00875818,0.0365291
2.5,3.76223,-0.00999457,0.0424133
2.6,3.84606,-0.0113289,0.048927
2.7,3.93795,-0.0127612,0.0561033
2.8,4.03821,-0.0142908,0.0639747
2.9,4.14716,-0.0159166,0.0725731
3,4.2651,-0.0176368,0.0819294
3.1,4.3923,-0.0194488,0.0920739
3.2,4.52903,-0.0213497,0.103036
3.3,4.67553,-0.0233359,0.114843
3.4,4.83202,-0.0254031,0.127522
3.5,4.99871,-0.0275464,0.141099
3.6,5.17578,-0.0297607,0.155599
3.7,5.36339,-0.03204,0.171044
3.8,5.56168,-0.0343779,0.187457
3.9,5.77077,-0.0367677,0.204857
4,5.99077,-0.039202,0.223262
4.1,6.22174,-0.0416731,0.24269
4.2,6.46374,-0.044173,0.263156
4.3,6.71681,-0.0466932,0.284674
4.4,6.98095,-0.049225,0.307255
4.5,7.25615,-0.0517593,0.330909
4.6,7.54237,-0.0542869,0.355644
4.7,7.83957,-0.0567983,0.381466
4.8,8.14766,-0.059284,0.408381
4.9,8.46654,-0.0617342,0.436389
5,8.79611,-0.0641391,0.465491
5.1,9.13621,-0.066489,0.495685
5.2,9.48669,-0.068774,0.526969
5.3,9.84736,-0.0709843,0.559336
5.4,10.218,-0.0731105,0.592778
