t,x,y,z
0,3.2,0,0
0.1,3.2001,1.30954e-05,1.35677e-05
0.2,3.20079,0.00010301,0.000107316
0.3,3.20264,0.000341794,0.000358082
0.4,3.2062,0.000796391,0.0008391
0.5,3.212,0.00152875,0.00162006
0.6,3.22053,0.00259593,0.00276718
0.7,3.23227,0.00405022,0.00434321
0.8,3.24769,0.00593923,0.00640755
0.9,3.26721,0.00830601,0.00901628
1,3.29127,0.0111892,0.0122222
1.1,3.32024,0.014623,0.0160749
1.2,3.35452,0.0186375,0.0206208
1.3,3.39445,0.0232585,0.0259032
1.4,3.44036,0.028508,0.0319624
1.5,3.49258,0.034404,0.0388358
1.6,3.5514,0.0409606,0.0465576
1.7,3.6171,0.0481883,0.0551594
1.8,3.68993,0.0560941,0.0646697
1.9,3.77015,0.0646815,0.0751146
2,3.85797,0.0739504,0.0865171
2.1,3.95359,0.0838977,0.0988977
2.2,4.05722,0.0945172,0.112274
2.3,4.16901,0.105799,0.126663
2.4,4.28913,0.117732,0.142075
2.5,4.41772,0.130301,0.158522
2.6,4.55489,0.143487,0.176012
2.7,4.70075,0.15727,0.19455
2.8,4.8554,0.171627,0.21414
2.9,5.01892,0.186534,0.234783
3,5.19137,0.201963,0.256478
3.1,5.37279,0.217883,0.279223
3.2,5.56322,0.234264,0.303011
3.3,5.76268,0.251071,0.327836
3.4,5.97117,0.268269,0.35369
3.5,6.1887,0.285821,0.38056
3.6,6.41525,0.303688,0.408434
3.7,6.65077,0.32183,0.437298
3.8,6.89524,0.340204,0.467135
3.9,7.14859,0.358768,0.497928
4,7.41075,0.377478,0.529657
4.1,7.68166,0.396288,0.5623
4.2,7.96122,0.415152,0.595836
4.3,8.24933,0.434022,0.63024
4.4,8.54589,0.452852,0.665487
4.5,8.85077,0.471592,0.70155
4.6,9.16384,0.490194,0.738402
4.7,9.48498,0.508607,0.776012
4.8,9.81403,0.526783,0.81435
4.9,10.1508,0.544671,0.853386
5,10.4952,0.562221,0.893085
5.1,10.847,0.579384,0.933416
5.2,11.2061,0.596109,0.974343
5.3,11.5722,0.612347,1.01583
5.4,11.9452,0.628047,1.05784
5.5,12.3248,0.643163,1.10034
5.6,12.7109,0.657645,1.14329
5.7,13.1033,0.671445,1.18665
5.8,13.5016,0.684517,1.23039
5.9,13.9058,0.696815,1.27445
6,14.3155,0.708293,1.31881
6.1,14.7306,0.718909,1.36342
6.2,15.1508,0.728619,1.40824
6.3,15.5758,0.737382,1.45323
6.4,16.0054,0.745159,1.49835
6.5,16.4394,0.75191,1.54356
6.6,16.8775,0.757599,1.58881
6.7,17.3195,0.762192,1.63406
6.8,17.765,0.765655,1.67927
6.9,18.2139,0.767958,1.72441
7,18.6658,0.769071,1.76941
7.1,19.1206,0.768967,1.81425
7.2,19.5779,0.767622,1.85889
7.3,20.0375,0.765015,1.90327
7.4,20.499,0.761125,1.94736
7.5,20.9623,0.755936,1.99112
7.6,21.4271,0.749433,2.03451
7.7,21.8931,0.741605,2.07749
7.8,22.36,0.732445,2.12001
7.9,22.8276,0.721946,2.16204
8,23.2956,0.710107,2.20354
8.1,23.7637,0.696929,2.24447
8.2,24.2317,0.682416,2.2848
8.3,24.6994,0.666577,2.32448
8.4,25.1664,0.649423,2.36349
8.5,25.6325,0.63097,2.40179
8.6,26.0975,0.611238,2.43934
8.7,26.5611,0.590248,2.47611
8.8,27.0231,0.56803,2.51207
8.9,27.4832,0.544613,2.54718
9,27.9412,0.520035,2.58143
9.1,28.3969,0.494334,2.61478
9.2,28.8501,0.467556,2.6472
9.3,29.3004,0.43975,2.67867
9.4,29.7478,0.41097,2.70916
9.5,30.192,0.381274,2.73866
9.6,30.6327,0.350726,2.76713
9.7,31.0699,0.319395,2.79456
9.8,31.5034,0.287354,2.82094
9.9,31.9328,0.254683,2.84624
10,32.3581,0.221466,2.87044
10.1,32.7792,0.187793,2.89355
10.2,33.1958,0.15376,2.91554
10.3,33.6077,0.119467,2.9364
10.4,34.015,0.0850211,2.95613
10.5,34.4173,0.0505361,2.97473
10.6,34.8147,0.0161303,2.99218
10.7,35.207,-0.0180711,3.00849
10.8,35.5941,-0.0519371,3.02366
10.9,35.9759,-0.0853303,3.03769
11,36.3523,-0.118108,3.05058
11.1,36.7233,-0.150122,3.06235
11.2,37.0888,-0.181219,3.073
11.3,37.4487,-0.211241,3.08254
11.4,37.803,-0.240028,3.09098
11.5,38.1517,-0.267414,3.09835
11.6,38.4947,-0.293231,3.10464
11.7,38.832,-0.317307,3.10989
11.8,39.1636,-0.339468,3.11411
11.9,39.4895,-0.35954,3.11732
12,39.8096,-0.377344,3.11954
